FFT Length,524288
Record Length,262144
FFT Sample Rate,+2.000000E+09,
Delta Frequency,+3.814697E+03,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+09,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS2204X Plus
Serial Number,SDS2PEEQ6R2981
Software Version,5.4.1.5.2R1
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+1.003265E+06,+4.750281E-06,+5.442232E-07,-1.064090E+02,+1.140692E-01
+1.007080E+06,+5.214510E-06,-5.475967E-07,-1.056081E+02,-1.046305E-01
+1.010895E+06,+5.508696E-06,+1.023664E-06,-1.050316E+02,+1.837311E-01
+1.014709E+06,+6.027776E-06,+5.894402E-08,-1.043964E+02,+9.778423E-03
+1.018524E+06,+6.010183E-06,+6.779341E-07,-1.043673E+02,+1.123228E-01
+1.022339E+06,+5.981750E-06,+1.447904E-06,-1.042162E+02,+2.374858E-01
+1.026154E+06,+6.104515E-06,-1.768897E-06,-1.039368E+02,-2.820440E-01
+1.029968E+06,+5.983459E-06,+1.413607E-06,-1.042251E+02,+2.319986E-01
+1.033783E+06,+6.692541E-06,+5.902108E-07,-1.034545E+02,+8.796178E-02
+1.037598E+06,+8.195758E-06,+1.201408E-06,-1.016359E+02,+1.455523E-01
+1.041412E+06,+8.539327E-06,-2.983189E-07,-1.013662E+02,-3.492051E-02
+1.045227E+06,+8.375141E-06,-2.222536E-06,-1.012446E+02,-2.593942E-01
+1.049042E+06,+1.022659E-05,+2.232028E-08,-9.980537E+01,+2.182571E-03
+1.052856E+06,+1.210430E-05,-1.336587E-06,-9.828857E+01,-1.099769E-01
+1.056671E+06,+1.524257E-05,+1.664809E-06,-9.628734E+01,+1.087898E-01
+1.060486E+06,+2.228294E-05,+3.469526E-06,-9.293652E+01,+1.544630E-01
+1.064301E+06,+2.958073E-05,-3.412417E-06,-9.052241E+01,-1.148518E-01
+1.068115E+06,+2.505979E-05,+8.200520E-06,-9.157864E+01,+3.162549E-01
+1.071930E+06,+1.644686E-05,+6.381932E-07,-9.567181E+01,+3.878388E-02
+1.075745E+06,+1.299710E-05,-1.198697E-06,-9.768628E+01,-9.196781E-02
+1.079559E+06,+1.276097E-05,+1.819103E-06,-9.779496E+01,+1.415981E-01
+1.083374E+06,+1.223420E-05,-2.044217E-06,-9.812890E+01,-1.655610E-01
+1.087189E+06,+1.157330E-05,+4.616253E-08,-9.873078E+01,+3.988687E-03
